fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2023-03-27 15:09:00,2023-03-27 15:09:00,CORTO,-0.601,-1.2,0.501,PERDEDOR
2023-03-30 02:20:00,2023-03-30 02:48:00,LARGO,1.212,2.41,0.503,GANADOR
2023-03-30 03:07:00,2023-03-30 03:07:00,LARGO,-0.596,-1.202,0.496,PERDEDOR
2023-03-30 07:37:00,2023-03-30 08:44:00,LARGO,-0.248,-0.496,0.501,PERDEDOR
2023-04-03 21:01:00,2023-04-03 21:04:00,CORTO,-0.603,-1.199,0.503,PERDEDOR
2023-04-10 16:48:00,2023-04-10 17:06:00,LARGO,1.018,2.015,0.505,GANADOR
2023-04-10 17:17:00,2023-04-10 17:22:00,LARGO,0.864,1.707,0.506,GANADOR
2023-04-10 17:31:00,2023-04-10 17:37:00,LARGO,1.058,2.09,0.506,GANADOR
2023-04-11 00:40:00,2023-04-11 00:42:00,LARGO,0.108,0.216,0.5,GANADOR
2023-04-11 01:50:00,2023-04-11 01:54:00,LARGO,1.206,2.377,0.507,GANADOR
2023-04-11 02:10:00,2023-04-11 02:32:00,LARGO,1.5,2.949,0.509,GANADOR
2023-04-14 00:37:00,2023-04-14 02:06:00,LARGO,0.407,0.81,0.502,GANADOR
2023-04-14 02:46:00,2023-04-14 07:37:00,LARGO,0.775,1.549,0.5,GANADOR
2023-04-14 07:46:00,2023-04-14 12:45:00,LARGO,0.276,0.549,0.503,GANADOR
2023-04-17 11:35:00,2023-04-17 11:55:00,CORTO,0.139,0.28,0.498,GANADOR
2023-04-17 12:22:00,2023-04-17 13:31:00,CORTO,0.891,1.792,0.497,GANADOR
2023-04-17 15:47:00,2023-04-17 16:38:00,CORTO,0.601,1.215,0.495,GANADOR
2023-06-14 20:06:00,2023-06-14 20:06:00,CORTO,-0.603,-1.199,0.503,PERDEDOR
2023-06-14 20:32:00,2023-06-14 20:36:00,CORTO,0.662,1.334,0.497,GANADOR
2023-06-14 20:50:00,2023-06-14 21:01:00,CORTO,1.711,3.489,0.49,GANADOR
2023-06-15 07:07:00,2023-06-15 07:49:00,CORTO,-0.577,-1.151,0.501,PERDEDOR
2023-06-15 11:18:00,2023-06-15 11:34:00,CORTO,-0.601,-1.2,0.501,PERDEDOR
2023-06-17 05:42:00,2023-06-17 07:02:00,LARGO,0.415,0.824,0.504,GANADOR
2023-06-17 08:02:00,2023-06-17 11:22:00,LARGO,-0.025,-0.05,0.503,PERDEDOR
2023-06-17 11:42:00,2023-06-17 15:15:00,LARGO,-0.313,-0.626,0.5,PERDEDOR
2023-06-19 18:04:00,2023-06-19 18:17:00,LARGO,0.386,0.768,0.503,GANADOR
2023-06-19 18:32:00,2023-06-19 18:52:00,LARGO,-0.131,-0.261,0.501,PERDEDOR
2023-06-19 20:11:00,2023-06-19 20:53:00,LARGO,-0.376,-0.752,0.5,PERDEDOR
2023-06-20 01:10:00,2023-06-20 01:20:00,LARGO,-0.173,-0.344,0.501,PERDEDOR
2023-06-20 15:51:00,2023-06-20 17:20:00,LARGO,1.06,2.117,0.5,GANADOR
2023-06-20 17:46:00,2023-06-20 17:50:00,LARGO,2.769,5.393,0.513,GANADOR
2023-06-21 00:23:00,2023-06-21 00:38:00,LARGO,-0.598,-1.201,0.498,PERDEDOR
2023-06-21 01:04:00,2023-06-21 01:15:00,LARGO,1.407,2.772,0.508,GANADOR
2023-06-21 06:01:00,2023-06-21 06:19:00,LARGO,1.169,2.304,0.507,GANADOR
2023-06-23 15:18:00,2023-06-23 15:25:00,LARGO,0.065,0.13,0.498,GANADOR
2023-06-23 15:32:00,2023-06-23 15:46:00,LARGO,0.185,0.369,0.502,GANADOR
2023-06-23 16:02:00,2023-06-23 16:10:00,LARGO,1.548,3.033,0.511,GANADOR
2023-06-30 04:41:00,2023-06-30 04:58:00,LARGO,0.11,0.219,0.502,GANADOR
